Twitter-HyDrug
Epoch: 00, Train Loss: 20.0528, Valid Loss: 1.2418, Test  Loss: 1.1807, Train Acc: 58.02%, Valid Acc: 51.36%, Test  Acc: 56.11%, Train F1: 19.46%, Valid F1: 17.99%, Test  F1: 19.11%, 
Epoch: 01, Train Loss: 19.6739, Valid Loss: 1.3583, Test  Loss: 1.2337, Train Acc: 58.02%, Valid Acc: 51.02%, Test  Acc: 56.49%, Train F1: 18.36%, Valid F1: 16.89%, Test  F1: 18.19%, 
Epoch: 02, Train Loss: 19.5056, Valid Loss: 1.2648, Test  Loss: 1.1664, Train Acc: 58.36%, Valid Acc: 51.02%, Test  Acc: 56.45%, Train F1: 18.43%, Valid F1: 16.89%, Test  F1: 18.05%, 
Epoch: 03, Train Loss: 19.3723, Valid Loss: 1.2085, Test  Loss: 1.1427, Train Acc: 58.36%, Valid Acc: 51.02%, Test  Acc: 56.49%, Train F1: 18.43%, Valid F1: 16.89%, Test  F1: 18.19%, 
Epoch: 04, Train Loss: 19.3271, Valid Loss: 1.1962, Test  Loss: 1.1416, Train Acc: 58.36%, Valid Acc: 51.36%, Test  Acc: 56.79%, Train F1: 18.43%, Valid F1: 17.93%, Test  F1: 19.17%, 
Epoch: 05, Train Loss: 19.3107, Valid Loss: 1.1801, Test  Loss: 1.1088, Train Acc: 58.36%, Valid Acc: 51.70%, Test  Acc: 56.70%, Train F1: 18.43%, Valid F1: 18.02%, Test  F1: 18.89%, 
Epoch: 06, Train Loss: 19.2185, Valid Loss: 1.1770, Test  Loss: 1.0930, Train Acc: 59.04%, Valid Acc: 51.70%, Test  Acc: 57.05%, Train F1: 20.47%, Valid F1: 18.02%, Test  F1: 19.99%, 
Epoch: 07, Train Loss: 19.1672, Valid Loss: 1.0765, Test  Loss: 1.0133, Train Acc: 66.21%, Valid Acc: 59.18%, Test  Acc: 63.18%, Train F1: 35.19%, Valid F1: 33.73%, Test  F1: 34.50%, 
Epoch: 08, Train Loss: 19.0262, Valid Loss: 1.0263, Test  Loss: 0.9817, Train Acc: 71.67%, Valid Acc: 63.61%, Test  Acc: 66.71%, Train F1: 41.45%, Valid F1: 39.03%, Test  F1: 39.37%, 
Epoch: 09, Train Loss: 18.9919, Valid Loss: 1.0125, Test  Loss: 0.9531, Train Acc: 69.97%, Valid Acc: 62.93%, Test  Acc: 66.11%, Train F1: 39.71%, Valid F1: 38.36%, Test  F1: 38.41%, 
Epoch: 10, Train Loss: 18.8810, Valid Loss: 0.9701, Test  Loss: 0.9264, Train Acc: 70.99%, Valid Acc: 64.63%, Test  Acc: 66.88%, Train F1: 40.78%, Valid F1: 39.90%, Test  F1: 39.42%, 
Epoch: 11, Train Loss: 18.8425, Valid Loss: 0.9801, Test  Loss: 0.9602, Train Acc: 69.28%, Valid Acc: 62.59%, Test  Acc: 64.45%, Train F1: 39.54%, Valid F1: 38.08%, Test  F1: 37.31%, 
Epoch: 12, Train Loss: 18.8767, Valid Loss: 0.9376, Test  Loss: 0.9061, Train Acc: 72.35%, Valid Acc: 64.29%, Test  Acc: 67.18%, Train F1: 42.05%, Valid F1: 39.72%, Test  F1: 39.68%, 
Epoch: 13, Train Loss: 18.8222, Valid Loss: 0.9444, Test  Loss: 0.9065, Train Acc: 70.99%, Valid Acc: 64.29%, Test  Acc: 66.84%, Train F1: 40.67%, Valid F1: 39.85%, Test  F1: 39.28%, 
